OID_,NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,Date,Year,Month
290,Sidinda,3,8465.000000000000000,0.049288046585000,120.000000000000000,168.000000000000000,48.000000000000000,132.057137118000014,2.903737176000000,1117863.665700000012293,131.666671753000003,135.333328246999997,201510,2015,10
291,Simangani,4,7246.000000000000000,0.042190334974000,120.000000000000000,157.666671753000003,37.666671752900001,130.934952431999989,3.300129194480000,948754.665321000036784,131.000000000000000,134.333328246999997,201510,2015,10
292,Unknown 16,5,1665.000000000000000,0.009694577385000,109.000000000000000,150.666671753000003,41.666671752900001,129.568768691000002,3.949070086950000,215731.999869999999646,129.666671753000003,133.666671753000003,201510,2015,10
293,Chidobe,6,1918.000000000000000,0.011167687342000,120.666664123999993,150.000000000000000,29.333335876500001,131.299617866999995,4.008899842480000,251832.667068000009749,131.166664123999993,136.000000000000000,201510,2015,10
294,Jambezi,7,3851.000000000000000,0.022422713219000,120.333335876000007,150.000000000000000,29.666664123499999,131.415909241000008,3.664244846280000,506082.666489000024740,131.000000000000000,136.000000000000000,201510,2015,10
295,Kachecheti,8,2626.000000000000000,0.015290066194000,119.333335876000007,153.000000000000000,33.666664123499999,131.078827165999996,3.229705387650000,344213.000136999995448,131.333328246999997,134.666671753000003,201510,2015,10
296,Mabale,9,1780.000000000000000,0.010364172820000,124.000000000000000,166.333328246999997,42.333328247099999,133.643071416999987,4.415916292160000,237884.667122000013478,133.333328246999997,139.000000000000000,201510,2015,10
297,Nekatambe,1,5882.000000000000000,0.034248350858000,108.666664123999993,183.333328246999997,74.666664123499999,137.132267974999991,7.301094216600000,806612.000228999997489,138.333328246999997,145.000000000000000,201511,2015,11
298,Nemananga,2,3134.000000000000000,0.018247931246000,120.666664123999993,164.666671753000003,44.000007629400002,136.864603124000013,5.188149409650000,428933.666191000025719,137.333328246999997,143.000000000000000,201511,2015,11
299,Sidinda,3,8465.000000000000000,0.049288046585000,121.000000000000000,180.000000000000000,59.000000000000000,140.609568854000003,4.914833657780000,1190260.000350000103936,140.666671753000003,146.000000000000000,201511,2015,11
300,Simangani,4,7246.000000000000000,0.042190334974000,118.666664123999993,171.000000000000000,52.333335876500001,137.062195279000008,5.343871417560000,993152.666991999954917,137.333328246999997,143.000000000000000,201511,2015,11
301,Unknown 16,5,1665.000000000000000,0.009694577385000,102.333335876000007,159.333328246999997,56.999992370599998,135.710911134000014,5.823552146590000,225958.667038000014145,136.666671753000003,141.666671753000003,201511,2015,11
302,Chidobe,6,1918.000000000000000,0.011167687342000,121.666664123999993,169.666671753000003,48.000007629400002,135.415710786999995,5.157618000650000,259727.333290000009583,135.333328246999997,141.666671753000003,201511,2015,11
303,Jambezi,7,3851.000000000000000,0.022422713219000,122.333335876000007,167.666671753000003,45.333335876500001,137.202458158000013,5.535034980760000,528366.666366999968886,136.666671753000003,144.333328246999997,201511,2015,11
304,Kachecheti,8,2626.000000000000000,0.015290066194000,121.000000000000000,158.000000000000000,37.000000000000000,135.130743856000009,4.877035885130000,354853.333365999977104,135.333328246999997,141.000000000000000,201511,2015,11
305,Mabale,9,1780.000000000000000,0.010364172820000,123.333335876000007,159.666671753000003,36.333335876500001,137.503557895000000,6.249108810980000,244756.333053999987897,137.000000000000000,145.666671753000003,201511,2015,11
306,Nekatambe,1,5882.000000000000000,0.034248350858000,106.666664123999993,182.333328246999997,75.666664123499999,151.285843852999989,12.366314570600000,889863.333542000036687,152.666671753000003,167.000000000000000,201512,2015,12
307,Nemananga,2,3134.000000000000000,0.018247931246000,125.666664123999993,185.666671753000003,60.000007629400002,158.299191723999996,12.460995209000000,496109.666862000012770,160.500000000000000,173.333328246999997,201512,2015,12
308,Sidinda,3,8465.000000000000000,0.049288046585000,131.000000000000000,190.000000000000000,59.000000000000000,162.270565135999988,8.254407721060000,1373620.333880000049248,163.000000000000000,172.000000000000000,201512,2015,12
309,Simangani,4,7246.000000000000000,0.042190334974000,123.666664123999993,184.000000000000000,60.333335876500001,153.692842100999997,8.856516613509999,1113658.333859999896958,154.333328246999997,164.333328246999997,201512,2015,12
310,Unknown 16,5,1665.000000000000000,0.009694577385000,109.666664123999993,174.333328246999997,64.666664123499999,152.701902111000010,9.280068958810000,254248.667015000013635,154.000000000000000,163.000000000000000,201512,2015,12
